Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1674397597,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1674397598,10,,Aggregated,0.000000,0.000000,34,37,39,44,46,46,46,46,46,46,46,10,0,32,31.62463330000001,20.87245900000001,45.990207999999974,7.0
1674397599,20,,Aggregated,0.000000,0.000000,34,36,38,39,46,53,55,55,55,55,55,40,0,33,33.6700729,19.927999999999948,54.629124999999945,7.0
1674397600,30,,Aggregated,0.000000,0.000000,31,33,36,37,43,46,52,53,55,55,55,136,0,31,31.387855088235284,15.420957999999985,54.629124999999945,1446.7058823529412
1674397601,40,,Aggregated,10.000000,0.000000,31,34,36,37,39,44,47,52,55,55,55,248,0,31,31.42563005241935,14.963583000000114,54.629124999999945,1657.6048387096773
1674397602,50,,Aggregated,20.000000,0.000000,31,34,35,36,39,44,47,52,55,55,55,379,0,31,31.51125297361477,14.963583000000114,54.629124999999945,1721.0633245382585
1674397603,60,,Aggregated,45.333333,0.000000,31,34,35,36,39,44,47,52,55,55,55,493,0,31,31.385612081135903,9.618999999999822,54.629124999999945,1649.6166328600407
1674397604,70,,Aggregated,62.000000,0.000000,31,34,36,36,39,44,49,52,55,55,55,638,0,31,31.466784036050154,9.618999999999822,54.629124999999945,1625.0094043887148
1674397605,80,,Aggregated,75.800000,0.000000,31,34,36,36,40,44,48,52,55,55,55,800,0,31,31.516213082500013,9.618999999999822,54.629124999999945,1564.3375
1674397606,90,,Aggregated,91.142857,0.000000,31,34,36,37,40,44,47,51,54,55,55,1025,0,31,31.45882854048778,9.618999999999822,54.629124999999945,1613.1951219512196
1674397607,100,,Aggregated,100.000000,0.000000,31,34,36,37,41,45,49,52,57,70,70,1290,0,31,31.520286657364274,9.618999999999822,69.77941699999946,1662.6434108527133
1674397608,100,,Aggregated,109.888889,0.000000,31,34,36,37,41,45,50,52,58,70,70,1522,0,31,31.43577203285144,9.06516599999918,69.77941699999946,1667.53876478318
1674397609,100,,Aggregated,123.400000,0.000000,31,34,36,37,42,46,50,52,58,70,70,1771,0,31,31.446798089215065,6.440292000000625,69.77941699999946,1700.3935629587804
1674397610,100,,Aggregated,145.700000,0.000000,31,34,36,37,42,46,50,53,58,70,70,1967,0,31,31.465640608540916,6.440292000000625,69.77941699999946,1676.425521098119
1674397611,100,,Aggregated,167.400000,0.000000,31,34,36,37,41,45,49,53,57,70,70,2152,0,31,31.461709339219354,6.440292000000625,69.77941699999946,1636.3076208178438
1674397612,100,,Aggregated,172.200000,0.000000,31,34,36,37,41,45,49,52,57,70,70,2368,0,31,31.366890796030432,6.09683299999908,69.77941699999946,1634.261402027027
1674397613,100,,Aggregated,179.800000,0.000000,31,34,36,37,41,45,49,52,57,70,70,2580,0,31,31.317751501937988,6.09683299999908,69.77941699999946,1631.610465116279
1674397614,100,,Aggregated,183.900000,0.000000,31,34,36,37,41,45,49,52,57,70,70,2814,0,31,31.32096775302054,6.09683299999908,69.77941699999946,1638.8208955223881
1674397615,100,,Aggregated,193.100000,0.000000,31,34,36,37,41,45,49,52,57,70,70,3037,0,31,31.30304598682903,6.09683299999908,69.77941699999946,1656.727033256503
1674397616,100,,Aggregated,198.400000,0.000000,31,34,36,37,40,45,49,52,66,71,71,3192,0,31,31.343690200187904,6.09683299999908,71.19108299999866,1629.576754385965
1674397617,100,,Aggregated,204.300000,0.000000,31,34,35,36,40,44,49,52,66,71,71,3364,0,31,31.31090513168842,6.09683299999908,71.19108299999866,1615.4158739595719
1674397618,100,,Aggregated,206.900000,0.000000,31,34,35,37,40,45,49,53,71,76,76,3583,0,31,31.38913560284675,6.09683299999908,75.8881250000023,1616.4535305609825
1674397619,100,,Aggregated,198.700000,0.000000,31,34,35,36,40,45,49,53,71,76,76,3818,0,31,31.30334164510212,6.09683299999908,75.8881250000023,1633.933734939759
1674397620,100,,Aggregated,193.300000,0.000000,31,34,35,36,40,45,50,54,71,91,91,4079,0,31,31.36824420348123,6.09683299999908,90.54324999999963,1645.460161804364
1674397621,100,,Aggregated,196.000000,0.000000,31,34,35,36,40,45,50,54,71,91,91,4297,0,31,31.31186797509889,6.09683299999908,90.54324999999963,1665.8880614382126
1674397622,100,,Aggregated,205.500000,0.000000,31,34,35,36,40,45,51,56,89,110,110,4476,0,31,31.44788793632704,6.09683299999908,108.43245799999934,1649.2450848972296
1674397623,100,,Aggregated,210.400000,0.000000,31,33,35,36,40,45,50,55,89,110,110,4645,0,31,31.42159051474699,6.09683299999908,108.43245799999934,1635.4775026910656
1674397624,100,,Aggregated,216.100000,0.000000,31,33,35,36,40,45,51,56,89,110,110,4840,0,31,31.428747430371846,6.09683299999908,108.43245799999934,1625.0316115702478
1674397625,100,,Aggregated,210.400000,0.000000,31,33,35,36,40,44,50,56,89,110,110,5062,0,31,31.37675624259176,6.09683299999908,108.43245799999934,1626.153694192019
