Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,1654,0,15,17.34817443530833,7.716291999999569,116.56820799999856,8905.0,27.35149197651898,0.0,15,17,20,22,28,32,36,48,110,120,120
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=10,6,0,38,53.15035416666536,31.86562499999468,78.88737499999365,27161.166666666668,0.09921943885073391,0.0,62,62,72,72,79,79,79,79,79,79,79
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=100,12,0,41,44.53055183333166,32.691166000000216,60.33462499999587,25882.166666666668,0.19843887770146781,0.0,44,45,54,54,55,60,60,60,60,60,60
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=101,11,0,45,44.24132954545551,28.735791999999094,66.15770800000575,25209.454545454544,0.18190230455967882,0.0,45,47,49,49,49,66,66,66,66,66,66
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=102,7,0,48,52.149726000001195,38.039959000002455,78.3085409999984,24786.14285714286,0.11575601199252289,0.0,48,54,59,59,78,78,78,78,78,78,78
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=103,7,0,39,53.68764885714126,36.775749999996776,101.03495799999962,26828.714285714286,0.11575601199252289,0.0,39,47,77,77,100,100,100,100,100,100,100
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=104,8,0,44,47.93007287500095,32.809625000002285,71.88858399999987,25031.0,0.13229258513431189,0.0,45,50,56,56,72,72,72,72,72,72,72
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=105,3,0,36,40.10315300000163,31.959874999998306,51.95012500000473,24904.666666666668,0.049609719425366954,0.0,36,36,52,52,52,52,52,52,52,52,52
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=106,10,0,42,49.07618749999991,31.571583000001624,107.15774999999894,25327.7,0.16536573141788985,0.0,43,44,50,69,110,110,110,110,110,110,110
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=107,12,0,40,48.45047916666608,29.446124999999768,77.69241600000143,25212.416666666668,0.19843887770146781,0.0,45,48,62,62,68,78,78,78,78,78,78
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=108,14,0,59,58.01029164285675,33.38145799999914,86.65916700000054,25799.64285714286,0.23151202398504578,0.0,60,70,72,77,83,87,87,87,87,87,87
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=109,9,0,48,48.14513422222334,28.03187500000348,66.28025000000193,25733.222222222223,0.14882915827610085,0.0,48,52,58,62,66,66,66,66,66,66,66
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=11,8,0,46,70.69341687499997,39.35604200000142,148.3527500000008,25295.625,0.13229258513431189,0.0,55,74,120,120,150,150,150,150,150,150,150
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=110,9,0,53,60.1338286666656,35.31283299999899,128.77454199999505,25737.777777777777,0.14882915827610085,0.0,53,60,69,71,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=111,9,0,46,45.60509277777669,33.1459169999988,57.574333999994565,25456.666666666668,0.14882915827610085,0.0,46,46,52,54,58,58,58,58,58,58,58
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=112,7,0,76,89.08929771428578,39.40383400000158,184.94929199999888,25179.571428571428,0.11575601199252289,0.0,76,93,130,130,180,180,180,180,180,180,180
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=113,10,0,51,58.95096670000087,32.23091600000316,95.86379200000295,25643.4,0.16536573141788985,0.0,53,74,75,86,96,96,96,96,96,96,96
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=114,11,0,60,60.82260981818101,33.6000839999997,117.83787499999931,26038.81818181818,0.18190230455967882,0.0,60,63,64,64,82,120,120,120,120,120,120
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=115,6,0,38,44.373652833334866,34.15533400000115,72.31904100000008,25044.0,0.09921943885073391,0.0,39,39,46,46,72,72,72,72,72,72,72
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=116,6,0,41,46.04529850000091,37.748875000000126,58.692583000002685,25210.0,0.09921943885073391,0.0,49,49,51,51,59,59,59,59,59,59,59
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=117,5,0,37,43.75640819999944,30.489916000000505,71.81758400000149,26110.2,0.08268286570894492,0.0,37,44,44,72,72,72,72,72,72,72,72
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=118,4,0,59,57.023218999999514,33.24270899999959,68.53999999999871,25726.0,0.06614629256715594,0.0,68,68,69,69,69,69,69,69,69,69,69
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=119,4,0,38,42.78148974999985,36.13191700000051,52.321291999998465,25046.25,0.06614629256715594,0.0,45,45,52,52,52,52,52,52,52,52,52
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=12,7,0,43,43.4934110000008,30.964334000003646,56.487875000001964,27353.571428571428,0.11575601199252289,0.0,43,45,48,48,56,56,56,56,56,56,56
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=120,10,0,45,51.02804150000102,32.5569579999998,94.41237500000454,25756.0,0.16536573141788985,0.0,45,47,61,64,94,94,94,94,94,94,94
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=121,11,0,47,52.163121272727146,31.095999999998014,87.35212499999889,26111.0,0.18190230455967882,0.0,47,56,65,65,69,87,87,87,87,87,87
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=122,6,0,40,46.778632166666775,28.741125000003365,68.03041700000011,25327.833333333332,0.09921943885073391,0.0,45,45,65,65,68,68,68,68,68,68,68
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=123,4,0,48,52.78332300000166,42.76783300000275,72.89379199999857,24582.75,0.06614629256715594,0.0,48,48,73,73,73,73,73,73,73,73,73
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=124,11,0,52,55.492605909091964,41.03783299999719,78.51283300000489,27412.81818181818,0.18190230455967882,0.0,52,61,66,66,72,79,79,79,79,79,79
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=125,6,0,48,52.07560416666664,38.14670799999931,77.39429200000103,26787.666666666668,0.09921943885073391,0.0,51,51,58,58,77,77,77,77,77,77,77
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=126,11,0,40,41.99762872727239,28.194374999998217,60.840958,25561.545454545456,0.18190230455967882,0.0,40,44,48,48,53,61,61,61,61,61,61
