Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,933,0,21,21.821713879957244,0.5561660000026336,79.72970899999865,7.0,15.448549599583714,0.0,21,23,25,26,30,34,40,46,80,80,80
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=10,3,0,27,25.775902666667367,22.491500000000997,27.898665999998684,2.0,0.04967379292470648,0.0,27,27,28,28,28,28,28,28,28,28,28
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=100,9,0,24,24.621004555556407,11.897000000000268,38.11941600000068,2.0,0.14902137877411945,0.0,24,25,29,30,38,38,38,38,38,38,38
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=101,4,0,27,27.321427000001286,24.11462500000283,30.486875000001135,2.0,0.06623172389960864,0.0,28,28,30,30,30,30,30,30,30,30,30
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=102,2,0,41.334416999999846,42.293687499999955,41.334416999999846,43.25295800000006,2.0,0.03311586194980432,0.0,43,43,43,43,43,43,43,43,43,43,43
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=103,8,0,23,25.50008350000099,20.5470830000003,36.43979099999939,2.0,0.1324634477992173,0.0,26,27,29,29,36,36,36,36,36,36,36
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=104,4,0,24,28.0355207499996,23.90612499999989,32.679999999999154,2.0,0.06623172389960864,0.0,31,31,33,33,33,33,33,33,33,33,33
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=105,1,0,29.359207999998915,29.359207999998915,29.359207999998915,29.359207999998915,2.0,0.01655793097490216,0.0,29,29,29,29,29,29,29,29,29,29,29
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=106,4,0,28,28.23406249999838,24.630832999996244,30.135291999997094,2.0,0.06623172389960864,0.0,30,30,30,30,30,30,30,30,30,30,30
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=107,6,0,25,25.064118000001077,19.524583000002593,27.754458000000426,2.0,0.09934758584941296,0.0,26,26,27,27,28,28,28,28,28,28,28
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=108,2,0,24.02058300000043,24.074582999999983,24.02058300000043,24.128582999999537,2.0,0.03311586194980432,0.0,24,24,24,24,24,24,24,24,24,24,24
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=109,5,0,24,24.471424999997637,18.152999999999864,31.729915999996194,2.0,0.0827896548745108,0.0,24,27,27,32,32,32,32,32,32,32,32
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=11,4,0,31,31.70112475000053,24.81708299999852,37.04712500000085,2.0,0.06623172389960864,0.0,33,33,37,37,37,37,37,37,37,37,37
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=110,5,0,28,26.08827500000057,19.594833000002865,32.052124999999876,2.0,0.0827896548745108,0.0,28,29,29,32,32,32,32,32,32,32,32
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=111,4,0,30,43.58860400000264,23.908791000000207,86.71679200000426,2.0,0.06623172389960864,0.0,33,33,87,87,87,87,87,87,87,87,87
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=112,6,0,26,26.428000000001006,23.030625000000526,32.374040999998854,2.0,0.09934758584941296,0.0,27,27,27,27,32,32,32,32,32,32,32
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=113,5,0,30,31.558849999998984,24.748250000001804,40.081791999995176,2.0,0.0827896548745108,0.0,30,34,34,40,40,40,40,40,40,40,40
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=114,3,0,17,17.890374999999754,11.610499999999746,25.269374999998817,2.0,0.04967379292470648,0.0,17,17,25,25,25,25,25,25,25,25,25
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=115,4,0,27,30.19025024999955,25.90637499999815,36.14174999999875,2.0,0.06623172389960864,0.0,31,31,36,36,36,36,36,36,36,36,36
