Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,1700,0,18,17.79656779470596,0.4778340000015646,165.68191600000048,7.0,28.103304956326173,0.0,18,23,25,27,33,42,61,75,160,170,170
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=10,6,0,20,20.737312499998996,2.5109590000056414,30.235749999995676,2.0,0.09918813513997472,0.0,24,24,29,29,30,30,30,30,30,30,30
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=100,15,0,28,30.814694333333748,0.7337919999983455,101.39749999999736,2.0,0.24797033784993683,0.0,28,31,31,50,55,100,100,100,100,100,100
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=101,7,0,14,20.27450614285645,0.5098749999987717,47.17783399999931,2.0,0.11571949099663718,0.0,14,16,37,37,47,47,47,47,47,47,47
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=102,9,0,25,29.035833333333173,1.2722499999995307,80.81995900000294,2.0,0.1487822027099621,0.0,25,28,28,34,81,81,81,81,81,81,81
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=103,5,0,19,17.59572479999978,5.217874999999594,25.22408300000034,2.0,0.08265677928331228,0.0,19,20,20,25,25,25,25,25,25,25,25
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=104,11,0,26,31.840931909090774,2.1567079999975647,88.04279099999945,2.0,0.18184491442328699,0.0,26,34,47,47,64,88,88,88,88,88,88
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=105,12,0,20,22.315371499999515,1.058875000001791,37.60870800000049,2.0,0.19837627027994945,0.0,26,27,35,35,37,38,38,38,38,38,38
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=106,9,0,28,26.713606555556485,9.815083999995977,38.43450000000104,2.0,0.1487822027099621,0.0,28,31,31,32,38,38,38,38,38,38,38
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=107,12,0,26,24.47712141666658,0.5600409999999556,39.29545799999801,2.0,0.19837627027994945,0.0,28,28,36,36,37,39,39,39,39,39,39
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=108,11,0,14,17.37667790909082,0.5707079999979214,38.92604199999994,2.0,0.18184491442328699,0.0,14,24,30,30,32,39,39,39,39,39,39
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=109,11,0,24,22.9937689090905,0.5155420000022559,73.00024999999977,2.0,0.18184491442328699,0.0,24,25,30,30,33,73,73,73,73,73,73
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=11,14,0,21,25.187291857143254,0.6805840000012608,102.03079100000423,2.0,0.23143898199327437,0.0,24,27,31,32,32,100,100,100,100,100,100
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=110,10,0,18,18.87301649999893,1.1709580000029973,33.93079099999596,2.0,0.16531355856662455,0.0,20,25,30,32,34,34,34,34,34,34,34
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=111,6,0,23,28.4302641666665,1.425457999999935,72.39533299999934,2.0,0.09918813513997472,0.0,24,24,33,33,72,72,72,72,72,72,72
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=112,9,0,19,19.594370444445353,0.5165419999997312,51.32908400000247,2.0,0.1487822027099621,0.0,19,25,33,39,51,51,51,51,51,51,51
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=113,8,0,32,33.43973449999882,12.954874999998367,64.38533399999358,2.0,0.13225084685329963,0.0,32,36,40,40,64,64,64,64,64,64,64
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=114,5,0,18,23.148308399999706,15.527624999997158,33.25858299999851,2.0,0.08265677928331228,0.0,18,32,32,33,33,33,33,33,33,33,33
