Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,2757,0,3,14.34307961479864,0.46920899999491894,805.3924999999964,7.0,45.49200782494111,0.0,3,13,19,21,29,36,56,210,600,810,810
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=10,12,0,6,26.990381916666806,0.5891670000011118,108.12012499999923,2.0,0.1980065628941942,0.0,13,32,52,52,70,110,110,110,110,110,110
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=100,12,0,3,21.42065983333286,0.5768750000001432,118.61162499999978,2.0,0.1980065628941942,0.0,3,21,31,31,49,120,120,120,120,120,120
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=101,15,0,38,50.0641945999997,0.5899999999954275,262.5977089999978,2.0,0.24750820361774273,0.0,38,42,68,90,100,260,260,260,260,260,260
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=102,15,0,27,22.41414439999995,0.6764999999973043,48.46437499999823,2.0,0.24750820361774273,0.0,27,31,37,39,42,48,48,48,48,48,48
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=103,7,0,2,13.264642857142762,0.795332999999232,32.42937499999954,2.0,0.11550382835494662,0.0,2,24,31,31,32,32,32,32,32,32,32
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=104,11,0,21,24.14351881818178,0.6106249999966451,109.34304099999892,2.0,0.18150601598634467,0.0,21,25,29,29,30,110,110,110,110,110,110
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=105,17,0,18,21.241213176470204,1.647832999999821,86.2373329999997,2.0,0.2805092974334418,0.0,18,24,28,31,38,86,86,86,86,86,86
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=106,7,0,13,21.54626785714291,0.520083000004945,56.317333000002634,2.0,0.11550382835494662,0.0,13,29,33,33,56,56,56,56,56,56,56
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=107,21,0,19,16.360255857142967,0.504374999998447,38.48570799999962,2.0,0.3465114850648398,0.0,19,27,28,29,31,36,38,38,38,38,38
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=108,22,0,3,17.306575863636294,0.5332080000002293,113.00899999999814,2.0,0.36301203197268933,0.0,3,19,25,32,46,49,110,110,110,110,110
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=109,10,0,11,15.141895900001856,0.6610840000007556,33.3547079999974,2.0,0.16500546907849517,0.0,19,20,29,33,33,33,33,33,33,33,33
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=11,13,0,24,22.33558646153885,0.5219580000002111,51.72412499999979,2.0,0.2145071098020437,0.0,24,25,33,39,45,52,52,52,52,52,52
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=110,11,0,1,4.788269000000027,0.5014999999986003,22.264499999998577,2.0,0.18150601598634467,0.0,1,2,9,9,14,22,22,22,22,22,22
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=111,8,0,28,23.981520999999507,0.7085000000017772,54.85516699999948,2.0,0.13200437526279613,0.0,31,34,40,40,55,55,55,55,55,55,55
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=112,13,0,28,57.9470225384608,0.6036659999963945,508.37116699999996,2.0,0.2145071098020437,0.0,28,33,35,36,37,510,510,510,510,510,510
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=113,11,0,23,21.823106090909437,0.8015000000014538,65.64833299999862,2.0,0.18150601598634467,0.0,23,32,33,33,37,66,66,66,66,66,66
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=114,19,0,21,34.11416657894774,0.5878750000007926,219.66975000000133,2.0,0.3135103912491408,0.0,21,27,48,63,95,220,220,220,220,220,220
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=115,12,0,2,36.10790983333286,0.7227500000013265,218.00387499999374,2.0,0.1980065628941942,0.0,20,26,31,31,100,220,220,220,220,220,220
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=116,11,0,3,11.219170272726554,0.605082999996398,29.318417000000707,2.0,0.18150601598634467,0.0,3,22,24,24,28,29,29,29,29,29,29
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=117,11,0,27,22.706602272727785,0.6860000000017408,66.08920800000107,2.0,0.18150601598634467,0.0,27,31,35,35,38,66,66,66,66,66,66
