Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,931,0,13,15.69683501288942,7.963541000002294,48.75537500000071,8905.0,15.31350170148275,0.0,13,15,17,19,27,33,37,39,49,49,49
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=10,2,0,30,32.89104149999922,29.933249999999134,35.8488329999993,27622.5,0.032896888724989796,0.0,36,36,36,36,36,36,36,36,36,36,36
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=100,5,0,37,39.6326833999991,35.34937499999913,51.71658300000015,26482.6,0.08224222181247448,0.0,37,38,38,52,52,52,52,52,52,52,52
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=101,6,0,46,58.0897708333321,37.664915999997106,98.18033299999485,26970.5,0.09869066617496938,0.0,46,46,83,83,98,98,98,98,98,98,98
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=102,4,0,40,42.39782274999837,38.626250000000084,47.63370800000022,25938.0,0.06579377744997959,0.0,44,44,48,48,48,48,48,48,48,48,48
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=103,2,0,32.433292000000336,33.44218800000043,32.433292000000336,34.45108400000052,24406.5,0.032896888724989796,0.0,34,34,34,34,34,34,34,34,34,34,34
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=104,6,0,38,60.03077083333341,33.085540999998386,102.27029200000004,26670.666666666668,0.09869066617496938,0.0,53,53,100,100,100,100,100,100,100,100,100
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=105,4,0,38,47.05807275000118,33.49120800000005,62.644333000001495,25938.25,0.06579377744997959,0.0,54,54,63,63,63,63,63,63,63,63,63
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=106,4,0,32,34.49462525000002,28.2980420000003,39.41841700000026,26113.5,0.06579377744997959,0.0,38,38,39,39,39,39,39,39,39,39,39
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=107,5,0,44,40.62614140000136,28.10908300000392,49.11866600000181,25157.8,0.08224222181247448,0.0,44,49,49,49,49,49,49,49,49,49,49
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=108,7,0,40,37.04427385714381,27.85212500000256,48.19075000000339,26903.285714285714,0.11513911053746428,0.0,40,40,43,43,48,48,48,48,48,48,48
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=109,4,0,32,33.8221977499995,29.912791000000993,36.708749999999846,27337.0,0.06579377744997959,0.0,36,36,37,37,37,37,37,37,37,37,37
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=11,3,0,38,40.718180666668026,31.368874999998297,52.542333000005215,25141.666666666668,0.04934533308748469,0.0,38,38,53,53,53,53,53,53,53,53,53
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=110,7,0,33,34.06556557142843,26.97908400000415,41.61858300000176,26268.0,0.11513911053746428,0.0,33,35,38,38,42,42,42,42,42,42,42
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=111,3,0,36,38.49162499999892,31.479875000002266,48.09916699999661,26867.333333333332,0.04934533308748469,0.0,36,36,48,48,48,48,48,48,48,48,48
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=112,7,0,33,35.97676199999825,32.261999999995794,45.191832999999626,25616.571428571428,0.11513911053746428,0.0,33,34,41,41,45,45,45,45,45,45,45
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=113,6,0,29,32.38011783333109,26.818290999997885,45.91070799999386,26277.0,0.09869066617496938,0.0,31,31,33,33,46,46,46,46,46,46,46
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=114,1,0,40.410082999999375,40.410082999999375,40.410082999999375,40.410082999999375,24750.0,0.016448444362494898,0.0,40,40,40,40,40,40,40,40,40,40,40
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=115,4,0,43,47.876374999999975,31.72208400000187,60.199999999998255,25910.5,0.06579377744997959,0.0,57,57,60,60,60,60,60,60,60,60,60
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=116,4,0,38,40.53831250000029,37.07787500000137,47.463209000000006,25984.5,0.06579377744997959,0.0,40,40,47,47,47,47,47,47,47,47,47
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=117,3,0,34,31.22536133333161,25.825709000002917,34.12749999999676,25555.333333333332,0.04934533308748469,0.0,34,34,34,34,34,34,34,34,34,34,34
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=118,3,0,33,36.995055333331806,31.551832999998197,46.30320799999765,27327.0,0.04934533308748469,0.0,33,33,46,46,46,46,46,46,46,46,46
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=119,5,0,35,35.21749980000095,29.96416599999918,38.08141700000078,25579.6,0.08224222181247448,0.0,35,38,38,38,38,38,38,38,38,38,38
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=12,7,0,45,42.672017999998936,32.63462500000003,50.11199999999949,25711.571428571428,0.11513911053746428,0.0,45,46,49,49,50,50,50,50,50,50,50
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=120,4,0,37,37.35707275000011,35.971582999998475,38.35700000000131,25471.75,0.06579377744997959,0.0,38,38,38,38,38,38,38,38,38,38,38
