Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,2388,0,38,46.10799786139018,7.328084000000956,295.3458750000024,8905.0,39.45259805219301,0.0,38,49,58,65,87,110,150,160,230,300,300
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=10,12,0,110.0,146.36075350000021,31.4549580000012,418.9367500000003,25446.583333333332,0.1982542615688091,0.0,110,140,250,250,260,420,420,420,420,420,420
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=100,14,0,120.0,146.85851200000056,42.26191699999937,286.1478330000011,24865.64285714286,0.23129663849694393,0.0,190,200,210,260,270,290,290,290,290,290,290
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=101,8,0,140.0,156.825526125,112.80487499999481,218.10079200000132,25418.25,0.13216950771253938,0.0,150,160,200,200,220,220,220,220,220,220,220
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=102,13,0,150.0,138.32006407692398,56.00375000000213,214.79437499999676,25234.076923076922,0.2147754500328765,0.0,150,150,170,180,190,210,210,210,210,210,210
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=103,7,0,170.0,174.67957142857267,130.91537500000072,236.68033300000246,25492.0,0.11564831924847196,0.0,170,170,220,220,240,240,240,240,240,240,240
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=104,7,0,160.0,173.68504771428456,73.80495799999665,301.83883399999445,25852.14285714286,0.11564831924847196,0.0,160,180,220,220,300,300,300,300,300,300,300
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=105,9,0,140.0,152.01375922222326,62.57970899999776,303.08066700000325,25173.0,0.14869069617660682,0.0,140,180,190,250,300,300,300,300,300,300,300
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=106,13,0,120.0,152.67921815384568,42.97333399999914,275.2807080000039,25149.53846153846,0.2147754500328765,0.0,120,190,220,270,270,280,280,280,280,280,280
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=107,12,0,140.0,146.6986112500006,73.28858300000007,251.81416699999914,26482.833333333332,0.1982542615688091,0.0,140,150,160,160,220,250,250,250,250,250,250
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=108,15,0,130.0,158.5427222666664,46.14137500000126,292.0844169999981,25720.533333333333,0.24781782696101137,0.0,130,190,240,260,260,290,290,290,290,290,290
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=109,11,0,77,154.55019327272834,37.960707999999954,388.44208300000105,25271.727272727272,0.18173307310474165,0.0,77,180,280,280,350,390,390,390,390,390,390
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=11,16,0,170.0,184.77967193749856,31.514459000000272,370.41187500000206,24884.0625,0.26433901542507876,0.0,180,230,290,290,320,370,370,370,370,370,370
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=110,15,0,180.0,180.7064334000001,30.8510410000018,584.4037919999962,26023.8,0.24781782696101137,0.0,180,200,220,300,310,580,580,580,580,580,580
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=111,11,0,180.0,159.58598118181774,49.14566700000034,222.6033749999985,24940.545454545456,0.18173307310474165,0.0,180,180,190,190,210,220,220,220,220,220,220
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=112,8,0,150.0,157.96548987499915,47.81499999999994,259.54920899999934,25066.625,0.13216950771253938,0.0,170,180,210,210,260,260,260,260,260,260,260
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=113,9,0,68,146.86847222222116,50.11275000000026,437.8658329999965,25719.444444444445,0.14869069617660682,0.0,68,120,210,260,440,440,440,440,440,440,440
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=114,12,0,56,88.14535408333383,37.51425000000097,210.73241700000267,25324.083333333332,0.1982542615688091,0.0,57,99,130,130,160,210,210,210,210,210,210
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=115,6,0,46,96.49424316666591,40.367749999997926,216.48420900000076,26093.0,0.09912713078440455,0.0,62,62,170,170,220,220,220,220,220,220,220
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=116,9,0,180.0,165.253184999999,35.896540999999615,311.0847919999955,24930.666666666668,0.14869069617660682,0.0,180,190,250,290,310,310,310,310,310,310,310
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=117,15,0,220.0,205.84280273333312,35.72004099999937,328.38674999999995,25549.6,0.24781782696101137,0.0,220,240,290,290,310,330,330,330,330,330,330
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=118,10,0,160.0,162.18070410000075,30.26750000000078,409.08308299999874,25451.1,0.16521188464067424,0.0,160,170,180,270,410,410,410,410,410,410,410
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=119,10,0,83,118.33047489999994,33.277959000002966,267.8559579999984,25619.2,0.16521188464067424,0.0,120,150,160,240,270,270,270,270,270,270,270
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=12,7,0,120.0,111.66711314285685,29.946999999999946,191.53241700000478,25117.428571428572,0.11564831924847196,0.0,120,170,170,170,190,190,190,190,190,190,190
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=120,12,0,170.0,164.07932633333232,38.763249999998806,305.6018750000007,25335.666666666668,0.1982542615688091,0.0,180,190,230,230,290,310,310,310,310,310,310
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=121,8,0,140.0,122.26944787500017,27.03679100000045,258.6098330000013,24755.5,0.13216950771253938,0.0,140,160,160,160,260,260,260,260,260,260,260
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=122,10,0,160.0,166.95342519999912,34.72004200000001,300.5604169999998,25881.5,0.16521188464067424,0.0,190,220,250,290,300,300,300,300,300,300,300
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=123,8,0,170.0,172.05317687499908,46.79433300000113,312.84225000000276,25721.625,0.13216950771253938,0.0,170,180,270,270,310,310,310,310,310,310,310
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=124,14,0,91,150.3070237857128,37.759124999999116,349.2542499999942,26813.85714285714,0.23129663849694393,0.0,120,200,220,290,340,350,350,350,350,350,350
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=125,10,0,140.0,150.69009580000133,37.739583000000465,256.03325000000154,25053.0,0.16521188464067424,0.0,170,170,200,240,260,260,260,260,260,260,260
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=126,19,0,140.0,149.27364905263244,43.45191699999873,320.35766700000323,25468.315789473683,0.31390258081728106,0.0,140,190,240,270,280,320,320,320,320,320,320
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=127,6,0,81,119.063840166666,42.16820799999965,197.1922500000005,25747.0,0.09912713078440455,0.0,160,160,180,180,200,200,200,200,200,200,200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=128,10,0,130.0,159.5734875000006,31.149708000000054,288.0792079999992,25083.4,0.16521188464067424,0.0,210,230,250,290,290,290,290,290,290,290,290
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=129,8,0,150.0,138.6725261250006,39.15266699999975,216.68716599999982,24989.625,0.13216950771253938,0.0,160,170,210,210,220,220,220,220,220,220,220
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=13,12,0,120.0,120.36931591666588,29.526917000000097,232.14204100000302,25572.916666666668,0.1982542615688091,0.0,130,140,180,180,220,230,230,230,230,230,230
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=130,12,0,140.0,153.40298983333437,33.843958000000285,315.1222500000017,25449.083333333332,0.1982542615688091,0.0,150,200,240,240,300,320,320,320,320,320,320
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=131,10,0,190.0,171.7119290999995,31.48887500000086,300.8553330000012,25260.2,0.16521188464067424,0.0,200,220,250,260,300,300,300,300,300,300,300
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=132,10,0,180.0,157.30881659999892,34.352416999999136,242.90133299999894,25928.5,0.16521188464067424,0.0,190,220,230,230,240,240,240,240,240,240,240
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=133,9,0,130.0,130.7794351111114,31.138291000001317,343.1984589999999,25864.222222222223,0.14869069617660682,0.0,130,140,160,170,340,340,340,340,340,340,340
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=134,7,0,170.0,191.0680894285708,34.49808400000087,326.4902499999991,26331.714285714286,0.11564831924847196,0.0,170,200,300,300,330,330,330,330,330,330,330
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=135,10,0,210.0,192.34168760000045,53.84191699999974,345.95545900000246,25360.4,0.16521188464067424,0.0,220,230,260,290,350,350,350,350,350,350,350
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=136,10,0,110.0,135.13785429999902,33.1646670000012,323.7582909999972,24944.7,0.16521188464067424,0.0,120,130,200,220,320,320,320,320,320,320,320
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=137,11,0,57,123.28395081818189,31.475291999999655,333.84237500000324,25847.272727272728,0.18173307310474165,0.0,57,160,180,180,240,330,330,330,330,330,330
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=138,7,0,84,129.4024940000012,44.91783300000307,283.66958400000186,26553.285714285714,0.11564831924847196,0.0,84,110,270,270,280,280,280,280,280,280,280
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=139,5,0,85,110.88359979999981,31.784625000000233,246.4100409999972,24986.0,0.08260594232033712,0.0,85,150,150,250,250,250,250,250,250,250,250
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=14,9,0,160.0,163.8469954444442,84.75162499999556,291.8627080000036,25084.88888888889,0.14869069617660682,0.0,160,160,180,220,290,290,290,290,290,290,290
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=140,9,0,170.0,145.77470822222202,48.604833000000625,206.53995800000047,25297.88888888889,0.14869069617660682,0.0,170,180,190,200,210,210,210,210,210,210,210
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=141,11,0,220.0,226.56278018181968,47.28908299999901,584.3128750000019,25754.545454545456,0.18173307310474165,0.0,220,250,270,270,450,580,580,580,580,580,580
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=142,11,0,180.0,164.9127271818173,36.65308300000003,374.18795800000026,25490.545454545456,0.18173307310474165,0.0,180,210,220,220,280,370,370,370,370,370,370
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=143,9,0,220.0,222.4052637777783,33.98112500000039,362.79962500000096,25292.777777777777,0.14869069617660682,0.0,220,230,290,340,360,360,360,360,360,360,360
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=144,9,0,110.0,132.66498577777793,37.223582999999394,248.3249160000014,25444.555555555555,0.14869069617660682,0.0,110,170,190,200,250,250,250,250,250,250,250
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=145,9,0,160.0,144.86426377777624,29.94154200000132,280.3236659999939,25001.333333333332,0.14869069617660682,0.0,160,180,240,250,280,280,280,280,280,280,280
